"ID_Cliente";"Nome";"Sobrenome";"Data_Nascimento";"Estado_Civil";"Sexo";"Email";"Telefone";"Renda_Anual";"Qtd_Filhos";"Escolaridade"
14;"Chloe";"Young";"1999-02-22";"S";"F";"chloe23@hotmail.com";"(71) 96890-7150";30000;0;"Parcial"
15;"Wyatt";"Hill";"1999-04-23";"C";"M";"wyatt32@gmail.com";"(71) 98644-2695";30000;0;"Parcial"
17;"Clarence";"Rai";"1964-10-04";"S";"M";"clarence32@outlook.com";"(21) 98923-7805";30000;2;"Parcial"
19;"Destiny";"Wilson";"1998-08-29";"S";"F";"destiny7@hotmail.com";"(21) 99431-6061";40000;0;"Parcial"
20;"Ethan";"Zhang";"1998-10-07";"C";"M";"ethan20@hotmail.com";"(11) 96440-6637";40000;0;"Parcial"
21;"Seth";"Edwards";"1998-10-06";"C";"M";"seth46@gmail.com";"(41) 97012-3526";40000;0;"Parcial"
22;"Russell";"Xie";"1998-09-12";"C";"M";"russell7@hotmail.com";"";60000;0;"Parcial"
23;"Alejandro";"Beck";"1965-12-18";"C";"M";"alejandro45@gmail.com";"(85) 94492-9582";10000;2;"Parcial"
24;"Harold";"Sai";"1966-03-29";"S";"M";"harold3@hotmail.com";"(31) 95052-6286";30000;2;"Parcial"
25;"Jessie";"Zhao";"1966-12-02";"C";"M";"jessie16@hotmail.com";"(41) 98751-8234";30000;2;"Parcial"
26;"Jill";"Jimenez";"1966-04-06";"C";"F";"jill13@gmail.com";"(41) 97120-5603";30000;2;"Parcial"
27;"Jimmy";"Moreno";"1966-12-16";"C";"M";"jimmy9@outlook.com";"(85) 92931-9277";30000;2;"Parcial"
28;"Bethany";"Yuan";"1967-02-17";"C";"F";"bethany10@hotmail.com";"(62) 92998-6359";10000;2;"Parcial"
33;"Wendy";"Dominguez";"1968-02-19";"C";"F";"wendy12@gmail.com";"(31) 97278-7135";10000;2;"Parcial"
34;"Jennifer";"Russell";"1998-12-13";"C";"F";"jennifer93@hotmail.com";"(21) 96714-5068";60000;0;"Parcial"
35;"Chloe";"Garcia";"1997-11-22";"S";"F";"chloe27@gmail.com";"(21) 94134-4552";40000;0;"Parcial"
36;"Diana";"Hernandez";"1968-03-18";"C";"F";"diana2@gmail.com";"(85) 93094-3166";10000;2;"Parcial"
37;"Marc";"Martin";"1968-12-12";"C";"M";"marc3@outlook.com";"(11) 92792-7732";30000;3;"Parcial"
38;"Jesse";"Murphy";"1997-07-27";"C";"M";"jesse15@outlook.com";"(62) 99674-9226";30000;0;"Parcial"
39;"Amanda";"Carter";"1997-10-11";"C";"F";"amanda53@gmail.com";"(71) 98283-7962";60000;0;"Parcial"
40;"Megan";"Sanchez";"1997-06-08";"C";"F";"megan28@hotmail.com";"";70000;0;"Parcial"
41;"Nathan";"Simmons";"1996-02-19";"C";"M";"nathan11@hotmail.com";"(11) 92589-9135";60000;0;"Parcial"
42;"Adam";"Flores";"1969-05-19";"C";"M";"adam10@gmail.com";"(31) 95449-1170";20000;2;"Parcial"
47;"Carol";"Rai";"2000-07-13";"S";"F";"carol8@outlook.com";"(11) 94585-9364";40000;0;"Parcial"
50;"Heidi";"Lopez";"1971-08-02";"S";"F";"heidi19@outlook.com";"(11) 92303-4933";40000;2;"Parcial"
51;"Ana";"Price";"2000-08-15";"C";"F";"ana0@outlook.com";"(21) 99193-2686";60000;0;"Parcial"
52;"Deanna";"Munoz";"1972-03-05";"C";"F";"deanna33@outlook.com";"(85) 92440-1858";40000;2;"Parcial"
53;"Gilbert";"Raje";"1972-02-29";"C";"M";"gilbert35@outlook.com";"(41) 95730-5711";40000;2;"Parcial"
54;"Michele";"Nath";"1973-03-29";"C";"F";"michele19@outlook.com";"(62) 98188-6208";40000;3;"Parcial"
56;"Marc";"Diaz";"1974-04-22";"C";"M";"marc6@gmail.com";"(41) 92126-6598";80000;2;"Parcial"
57;"Ashlee";"Andersen";"1974-03-27";"S";"F";"ashlee19@gmail.com";"(85) 97355-1991";80000;2;"Parcial"
58;"Jon";"Zhou";"1974-03-12";"C";"M";"jon28@hotmail.com";"(85) 96675-4865";80000;2;"Parcial"
59;"Todd";"Gao";"1974-02-22";"C";"M";"todd14@gmail.com";"(11) 96585-5605";80000;2;"Parcial"
63;"Jessica";"Henderson";"1993-10-04";"C";"F";"jessica29@gmail.com";"(21) 93673-6903";60000;0;"Parcial"
64;"Grace";"Butler";"1993-11-22";"C";"F";"grace62@gmail.com";"";70000;0;"Parcial"
65;"Caleb";"Carter";"1996-09-20";"S";"M";"caleb40@gmail.com";"(31) 97809-1800";60000;0;"Parcial"
82;"Lucas";"Phillips";"1977-09-07";"S";"M";"lucas7@outlook.com";"(62) 94668-3507";80000;2;"Parcial"
84;"Ryan";"Brown";"1977-12-18";"C";"M";"ryan43@gmail.com";"(85) 92637-3025";70000;2;"Parcial"
85;"Tamara";"Liang";"1977-09-28";"C";"F";"tamara6@gmail.com";"(62) 92170-6794";70000;3;"Parcial"
88;"Trevor";"Bryant";"1977-12-12";"S";"M";"trevor18@gmail.com";"";90000;2;"Parcial"
89;"Dalton";"Perez";"1977-03-30";"C";"M";"dalton37@outlook.com";"(21) 98302-8969";90000;2;"Parcial"
92;"Cedric";"Ma";"1982-03-27";"S";"M";"cedric15@outlook.com";"(31) 95423-4764";70000;1;"Parcial"
93;"Chad";"Kumar";"1982-08-27";"S";"M";"chad9@gmail.com";"(21) 98828-7409";70000;1;"Parcial"
95;"Edwin";"Nara";"1981-10-22";"C";"M";"edwin39@outlook.com";"(71) 97194-6478";60000;1;"Parcial"
96;"Mallory";"Rubio";"1981-04-26";"S";"F";"mallory7@hotmail.com";"(62) 93152-6617";60000;1;"Parcial"
98;"Latasha";"Navarro";"1980-09-10";"S";"F";"latasha10@outlook.com";"";60000;1;"Parcial"
